primera evaluacion f(1.33724, -0.836928) = 0.385277
evaluacion 0: f(1.33724, -0.836928) = 0.385277
evaluacion 1: f(-0.120553, -0.826483) = -0.708612
evaluacion 2: f(-0.120553, -0.826483) = -0.708612
evaluacion 3: f(-0.120553, -0.826483) = -0.708612
evaluacion 4: f(-0.120553, -0.826483) = -0.708612
evaluacion 5: f(-0.120553, -0.826483) = -0.708612
evaluacion 6: f(-0.120553, -0.826483) = -0.708612
evaluacion 7: f(-0.120553, -0.826483) = -0.708612
evaluacion 8: f(-0.120553, -0.826483) = -0.708612
evaluacion 9: f(0.376335, -0.684649) = -0.728412
evaluacion 10: f(0.376335, -0.684649) = -0.728412
evaluacion 11: f(0.376335, -0.684649) = -0.728412
evaluacion 12: f(0.376335, -0.684649) = -0.728412
evaluacion 13: f(0.376335, -0.684649) = -0.728412
evaluacion 14: f(0.376335, -0.684649) = -0.728412
evaluacion 15: f(0.376335, -0.684649) = -0.728412
evaluacion 16: f(0.376335, -0.684649) = -0.728412
evaluacion 17: f(0.376335, -0.684649) = -0.728412
evaluacion 18: f(0.376335, -0.684649) = -0.728412
evaluacion 19: f(0.376335, -0.684649) = -0.728412
evaluacion 20: f(0.376335, -0.684649) = -0.728412
evaluacion 21: f(0.376335, -0.684649) = -0.728412
evaluacion 22: f(0.376335, -0.684649) = -0.728412
evaluacion 23: f(0.376335, -0.684649) = -0.728412
evaluacion 24: f(0.376335, -0.684649) = -0.728412
evaluacion 25: f(0.317487, -0.789948) = -0.80708
evaluacion 26: f(0.292521, -0.759086) = -0.871709
evaluacion 27: f(0.0635948, -0.734888) = -1.02417
evaluacion 28: f(0.0635948, -0.734888) = -1.02417
evaluacion 29: f(0.0635948, -0.734888) = -1.02417
evaluacion 30: f(0.0635948, -0.734888) = -1.02417
evaluacion 31: f(0.0635948, -0.734888) = -1.02417
evaluacion 32: f(0.0635948, -0.734888) = -1.02417
evaluacion 33: f(0.0635948, -0.734888) = -1.02417
evaluacion 34: f(0.0635948, -0.734888) = -1.02417
evaluacion 35: f(0.0635948, -0.734888) = -1.02417
evaluacion 36: f(0.0635948, -0.734888) = -1.02417
evaluacion 37: f(0.0635948, -0.734888) = -1.02417
evaluacion 38: f(0.0635948, -0.734888) = -1.02417
evaluacion 39: f(0.1139, -0.720912) = -1.02902
evaluacion 40: f(0.1139, -0.720912) = -1.02902
evaluacion 41: f(0.1139, -0.720912) = -1.02902
evaluacion 42: f(0.1139, -0.720912) = -1.02902
evaluacion 43: f(0.1139, -0.720912) = -1.02902
evaluacion 44: f(0.1139, -0.720912) = -1.02902
evaluacion 45: f(0.1139, -0.720912) = -1.02902
evaluacion 46: f(0.1139, -0.720912) = -1.02902
evaluacion 47: f(0.1139, -0.720912) = -1.02902
evaluacion 48: f(0.1139, -0.720912) = -1.02902
evaluacion 49: f(0.1139, -0.720912) = -1.02902
evaluacion 50: f(0.1139, -0.720912) = -1.02902
evaluacion 51: f(0.1139, -0.720912) = -1.02902
evaluacion 52: f(0.1139, -0.720912) = -1.02902
evaluacion 53: f(0.1139, -0.720912) = -1.02902
evaluacion 54: f(0.1139, -0.720912) = -1.02902
evaluacion 55: f(0.1139, -0.720912) = -1.02902
evaluacion 56: f(0.1139, -0.720912) = -1.02902
evaluacion 57: f(0.1139, -0.720912) = -1.02902
evaluacion 58: f(0.1139, -0.720912) = -1.02902
evaluacion 59: f(0.1139, -0.720912) = -1.02902
evaluacion 60: f(0.1139, -0.720912) = -1.02902
evaluacion 61: f(0.1139, -0.720912) = -1.02902
evaluacion 62: f(0.1139, -0.720912) = -1.02902
evaluacion 63: f(0.1139, -0.720912) = -1.02902
evaluacion 64: f(0.1139, -0.720912) = -1.02902
evaluacion 65: f(0.1139, -0.720912) = -1.02902
evaluacion 66: f(0.1139, -0.720912) = -1.02902
evaluacion 67: f(0.1139, -0.720912) = -1.02902
evaluacion 68: f(0.1139, -0.720912) = -1.02902
evaluacion 69: f(0.1139, -0.720912) = -1.02902
evaluacion 70: f(0.1139, -0.720912) = -1.02902
evaluacion 71: f(0.1139, -0.720912) = -1.02902
evaluacion 72: f(0.082714, -0.706105) = -1.03113
evaluacion 73: f(0.082714, -0.706105) = -1.03113
evaluacion 74: f(0.082714, -0.706105) = -1.03113
evaluacion 75: f(0.082714, -0.706105) = -1.03113
evaluacion 76: f(0.082714, -0.706105) = -1.03113
evaluacion 77: f(0.082714, -0.706105) = -1.03113
evaluacion 78: f(0.082714, -0.706105) = -1.03113
evaluacion 79: f(0.082714, -0.706105) = -1.03113
evaluacion 80: f(0.082714, -0.706105) = -1.03113
evaluacion 81: f(0.082714, -0.706105) = -1.03113
evaluacion 82: f(0.082714, -0.706105) = -1.03113
evaluacion 83: f(0.082714, -0.706105) = -1.03113
evaluacion 84: f(0.082714, -0.706105) = -1.03113
evaluacion 85: f(0.082714, -0.706105) = -1.03113
evaluacion 86: f(0.082714, -0.706105) = -1.03113
evaluacion 87: f(0.082714, -0.706105) = -1.03113
evaluacion 88: f(0.0923476, -0.717548) = -1.03142
evaluacion 89: f(0.0923476, -0.717548) = -1.03142
evaluacion 90: f(0.0923476, -0.717548) = -1.03142
evaluacion 91: f(0.0923476, -0.717548) = -1.03142
evaluacion 92: f(0.0923476, -0.717548) = -1.03142
evaluacion 93: f(0.0923476, -0.717548) = -1.03142
evaluacion 94: f(0.0923476, -0.717548) = -1.03142
evaluacion 95: f(0.0923476, -0.717548) = -1.03142
evaluacion 96: f(0.0923476, -0.717548) = -1.03142
evaluacion 97: f(0.0923476, -0.717548) = -1.03142
evaluacion 98: f(0.0923476, -0.717548) = -1.03142
evaluacion 99: f(0.0923476, -0.717548) = -1.03142
