primera evaluacion f(1.27273, -0.463189) = 1.12239
evaluacion 0: f(1.27273, -0.463189) = 1.12239
evaluacion 1: f(0.451645, -0.644516) = -0.53108
evaluacion 2: f(0.451645, -0.644516) = -0.53108
evaluacion 3: f(0.451645, -0.644516) = -0.53108
evaluacion 4: f(0.451645, -0.644516) = -0.53108
evaluacion 5: f(0.451645, -0.644516) = -0.53108
evaluacion 6: f(0.451645, -0.644516) = -0.53108
evaluacion 7: f(0.451645, -0.644516) = -0.53108
evaluacion 8: f(0.451645, -0.644516) = -0.53108
evaluacion 9: f(0.451645, -0.644516) = -0.53108
evaluacion 10: f(0.451645, -0.644516) = -0.53108
evaluacion 11: f(0.451645, -0.644516) = -0.53108
evaluacion 12: f(0.451645, -0.644516) = -0.53108
evaluacion 13: f(0.451645, -0.644516) = -0.53108
evaluacion 14: f(0.451645, -0.644516) = -0.53108
evaluacion 15: f(0.451645, -0.644516) = -0.53108
evaluacion 16: f(0.329246, -0.854743) = -0.659385
evaluacion 17: f(0.329246, -0.854743) = -0.659385
evaluacion 18: f(0.329246, -0.854743) = -0.659385
evaluacion 19: f(0.329246, -0.854743) = -0.659385
evaluacion 20: f(0.329246, -0.854743) = -0.659385
evaluacion 21: f(0.329246, -0.854743) = -0.659385
evaluacion 22: f(0.329246, -0.854743) = -0.659385
evaluacion 23: f(0.185915, -0.558376) = -0.826347
evaluacion 24: f(0.185915, -0.558376) = -0.826347
evaluacion 25: f(0.185915, -0.558376) = -0.826347
evaluacion 26: f(0.185915, -0.558376) = -0.826347
evaluacion 27: f(0.185915, -0.558376) = -0.826347
evaluacion 28: f(0.109524, -0.839256) = -0.877202
evaluacion 29: f(0.226717, -0.661507) = -0.934296
evaluacion 30: f(0.237641, -0.73996) = -0.947549
evaluacion 31: f(0.237641, -0.73996) = -0.947549
evaluacion 32: f(0.237641, -0.73996) = -0.947549
evaluacion 33: f(0.169596, -0.672701) = -0.991751
evaluacion 34: f(0.1187, -0.733173) = -1.02545
evaluacion 35: f(0.1187, -0.733173) = -1.02545
evaluacion 36: f(0.1187, -0.733173) = -1.02545
evaluacion 37: f(0.1187, -0.733173) = -1.02545
evaluacion 38: f(0.1187, -0.733173) = -1.02545
evaluacion 39: f(0.106621, -0.71565) = -1.03051
evaluacion 40: f(0.106621, -0.71565) = -1.03051
evaluacion 41: f(0.106621, -0.71565) = -1.03051
evaluacion 42: f(0.106621, -0.71565) = -1.03051
evaluacion 43: f(0.106621, -0.71565) = -1.03051
evaluacion 44: f(0.106621, -0.71565) = -1.03051
evaluacion 45: f(0.106621, -0.71565) = -1.03051
evaluacion 46: f(0.106621, -0.71565) = -1.03051
evaluacion 47: f(0.106621, -0.71565) = -1.03051
evaluacion 48: f(0.106621, -0.71565) = -1.03051
evaluacion 49: f(0.106621, -0.71565) = -1.03051
evaluacion 50: f(0.106621, -0.71565) = -1.03051
evaluacion 51: f(0.106621, -0.71565) = -1.03051
evaluacion 52: f(0.106621, -0.71565) = -1.03051
evaluacion 53: f(0.106621, -0.71565) = -1.03051
evaluacion 54: f(0.106621, -0.71565) = -1.03051
evaluacion 55: f(0.106621, -0.71565) = -1.03051
evaluacion 56: f(0.106621, -0.71565) = -1.03051
evaluacion 57: f(0.106621, -0.71565) = -1.03051
evaluacion 58: f(0.106621, -0.71565) = -1.03051
evaluacion 59: f(0.106621, -0.71565) = -1.03051
evaluacion 60: f(0.106621, -0.71565) = -1.03051
evaluacion 61: f(0.106621, -0.71565) = -1.03051
evaluacion 62: f(0.106621, -0.71565) = -1.03051
evaluacion 63: f(0.106621, -0.71565) = -1.03051
evaluacion 64: f(0.106621, -0.71565) = -1.03051
evaluacion 65: f(0.106621, -0.71565) = -1.03051
evaluacion 66: f(0.106621, -0.71565) = -1.03051
evaluacion 67: f(0.106621, -0.71565) = -1.03051
evaluacion 68: f(0.106621, -0.71565) = -1.03051
evaluacion 69: f(0.106621, -0.71565) = -1.03051
evaluacion 70: f(0.106621, -0.71565) = -1.03051
evaluacion 71: f(0.106621, -0.71565) = -1.03051
evaluacion 72: f(0.106621, -0.71565) = -1.03051
evaluacion 73: f(0.106621, -0.71565) = -1.03051
evaluacion 74: f(0.106621, -0.71565) = -1.03051
evaluacion 75: f(0.106621, -0.71565) = -1.03051
evaluacion 76: f(0.106621, -0.71565) = -1.03051
evaluacion 77: f(0.106621, -0.71565) = -1.03051
evaluacion 78: f(0.106621, -0.71565) = -1.03051
evaluacion 79: f(0.106621, -0.71565) = -1.03051
evaluacion 80: f(0.106621, -0.71565) = -1.03051
evaluacion 81: f(0.106621, -0.71565) = -1.03051
evaluacion 82: f(0.106621, -0.71565) = -1.03051
evaluacion 83: f(0.106621, -0.71565) = -1.03051
evaluacion 84: f(0.106621, -0.71565) = -1.03051
evaluacion 85: f(0.106621, -0.71565) = -1.03051
evaluacion 86: f(0.106621, -0.71565) = -1.03051
evaluacion 87: f(0.106621, -0.71565) = -1.03051
evaluacion 88: f(0.106621, -0.71565) = -1.03051
evaluacion 89: f(0.106621, -0.71565) = -1.03051
evaluacion 90: f(0.106621, -0.71565) = -1.03051
evaluacion 91: f(0.106621, -0.71565) = -1.03051
evaluacion 92: f(0.106621, -0.71565) = -1.03051
evaluacion 93: f(0.106621, -0.71565) = -1.03051
evaluacion 94: f(0.106621, -0.71565) = -1.03051
evaluacion 95: f(0.0854787, -0.722102) = -1.03077
evaluacion 96: f(0.0903819, -0.704982) = -1.03115
evaluacion 97: f(0.0903819, -0.704982) = -1.03115
evaluacion 98: f(0.0937676, -0.709963) = -1.0315
evaluacion 99: f(0.0937676, -0.709963) = -1.0315
