primera evaluacion f(0.64033, -1.2786) = 4.64248
evaluacion 0: f(0.64033, -1.2786) = 4.64248
evaluacion 1: f(0.798878, -0.852301) = 0.308302
evaluacion 2: f(0.798878, -0.852301) = 0.308302
evaluacion 3: f(0.798878, -0.852301) = 0.308302
evaluacion 4: f(0.798878, -0.852301) = 0.308302
evaluacion 5: f(0.798878, -0.852301) = 0.308302
evaluacion 6: f(0.798878, -0.852301) = 0.308302
evaluacion 7: f(0.798878, -0.852301) = 0.308302
evaluacion 8: f(0.798878, -0.852301) = 0.308302
evaluacion 9: f(0.798878, -0.852301) = 0.308302
evaluacion 10: f(0.798878, -0.852301) = 0.308302
evaluacion 11: f(0.798878, -0.852301) = 0.308302
evaluacion 12: f(-0.417044, 0.441377) = -0.177586
evaluacion 13: f(-0.417044, 0.441377) = -0.177586
evaluacion 14: f(-0.417044, 0.441377) = -0.177586
evaluacion 15: f(-0.417044, 0.441377) = -0.177586
evaluacion 16: f(-0.417044, 0.441377) = -0.177586
evaluacion 17: f(-0.501389, 0.546935) = -0.234701
evaluacion 18: f(-0.501389, 0.546935) = -0.234701
evaluacion 19: f(-0.501389, 0.546935) = -0.234701
evaluacion 20: f(-0.501389, 0.546935) = -0.234701
evaluacion 21: f(-0.501389, 0.546935) = -0.234701
evaluacion 22: f(0.0102328, 0.501737) = -0.747915
evaluacion 23: f(-0.150832, 0.737736) = -1.01352
evaluacion 24: f(-0.150832, 0.737736) = -1.01352
evaluacion 25: f(-0.150832, 0.737736) = -1.01352
evaluacion 26: f(-0.150832, 0.737736) = -1.01352
evaluacion 27: f(-0.150832, 0.737736) = -1.01352
evaluacion 28: f(-0.153407, 0.726921) = -1.01531
evaluacion 29: f(-0.153407, 0.726921) = -1.01531
evaluacion 30: f(-0.153407, 0.726921) = -1.01531
evaluacion 31: f(-0.153407, 0.726921) = -1.01531
evaluacion 32: f(-0.153407, 0.726921) = -1.01531
evaluacion 33: f(-0.153407, 0.726921) = -1.01531
evaluacion 34: f(-0.153407, 0.726921) = -1.01531
evaluacion 35: f(-0.153407, 0.726921) = -1.01531
evaluacion 36: f(-0.125914, 0.707218) = -1.02616
evaluacion 37: f(-0.125914, 0.707218) = -1.02616
evaluacion 38: f(-0.125914, 0.707218) = -1.02616
evaluacion 39: f(-0.125914, 0.707218) = -1.02616
evaluacion 40: f(-0.125914, 0.707218) = -1.02616
evaluacion 41: f(-0.0971697, 0.701847) = -1.0304
evaluacion 42: f(-0.0971697, 0.701847) = -1.0304
evaluacion 43: f(-0.0971697, 0.701847) = -1.0304
evaluacion 44: f(-0.0971697, 0.701847) = -1.0304
evaluacion 45: f(-0.0971697, 0.701847) = -1.0304
evaluacion 46: f(-0.0971697, 0.701847) = -1.0304
evaluacion 47: f(-0.0971697, 0.701847) = -1.0304
evaluacion 48: f(-0.0971697, 0.701847) = -1.0304
evaluacion 49: f(-0.0971697, 0.701847) = -1.0304
evaluacion 50: f(-0.0971697, 0.701847) = -1.0304
evaluacion 51: f(-0.0971697, 0.701847) = -1.0304
evaluacion 52: f(-0.0971697, 0.701847) = -1.0304
evaluacion 53: f(-0.0971697, 0.701847) = -1.0304
evaluacion 54: f(-0.0971697, 0.701847) = -1.0304
