primera evaluacion f(0.830684, -0.374617) = 1.07599
evaluacion 0: f(-0.0389962, 0.165333) = -0.106721
evaluacion 1: f(-0.0389962, 0.165333) = -0.106721
evaluacion 2: f(-0.0389962, 0.165333) = -0.106721
evaluacion 3: f(-0.0389962, 0.165333) = -0.106721
evaluacion 4: f(-0.0389962, 0.165333) = -0.106721
evaluacion 5: f(-0.0389962, 0.165333) = -0.106721
evaluacion 6: f(-0.0389962, 0.165333) = -0.106721
evaluacion 7: f(-0.0389962, 0.165333) = -0.106721
evaluacion 8: f(-0.0389962, 0.165333) = -0.106721
evaluacion 9: f(-0.0389962, 0.165333) = -0.106721
evaluacion 10: f(-0.0389962, 0.165333) = -0.106721
evaluacion 11: f(-0.0389962, 0.165333) = -0.106721
evaluacion 12: f(-0.0389962, 0.165333) = -0.106721
evaluacion 13: f(-0.0389962, 0.165333) = -0.106721
evaluacion 14: f(0.20751, -0.515536) = -0.719163
evaluacion 15: f(0.20751, -0.515536) = -0.719163
evaluacion 16: f(0.20751, -0.515536) = -0.719163
evaluacion 17: f(0.0201386, -0.715918) = -1.01217
evaluacion 18: f(0.0201386, -0.715918) = -1.01217
evaluacion 19: f(0.0201386, -0.715918) = -1.01217
evaluacion 20: f(0.0201386, -0.715918) = -1.01217
evaluacion 21: f(0.0201386, -0.715918) = -1.01217
evaluacion 22: f(0.0201386, -0.715918) = -1.01217
evaluacion 23: f(0.0201386, -0.715918) = -1.01217
evaluacion 24: f(0.0201386, -0.715918) = -1.01217
evaluacion 25: f(0.0739921, -0.69743) = -1.02903
evaluacion 26: f(0.0739921, -0.69743) = -1.02903
evaluacion 27: f(0.0739921, -0.69743) = -1.02903
evaluacion 28: f(0.0739921, -0.69743) = -1.02903
evaluacion 29: f(0.0739921, -0.69743) = -1.02903
evaluacion 30: f(0.0739921, -0.69743) = -1.02903
evaluacion 31: f(0.0739921, -0.69743) = -1.02903
evaluacion 32: f(0.0739921, -0.69743) = -1.02903
evaluacion 33: f(0.0739921, -0.69743) = -1.02903
evaluacion 34: f(0.0739921, -0.69743) = -1.02903
evaluacion 35: f(0.0739921, -0.69743) = -1.02903
evaluacion 36: f(0.0739921, -0.69743) = -1.02903
evaluacion 37: f(0.0959226, -0.714903) = -1.03146
evaluacion 38: f(0.0959226, -0.714903) = -1.03146
evaluacion 39: f(0.0959226, -0.714903) = -1.03146
evaluacion 40: f(0.0959226, -0.714903) = -1.03146
evaluacion 41: f(0.0959226, -0.714903) = -1.03146
evaluacion 42: f(0.0959226, -0.714903) = -1.03146
evaluacion 43: f(0.0959226, -0.714903) = -1.03146
evaluacion 44: f(0.0959226, -0.714903) = -1.03146
evaluacion 45: f(0.0959226, -0.714903) = -1.03146
evaluacion 46: f(0.0959226, -0.714903) = -1.03146
evaluacion 47: f(0.0959226, -0.714903) = -1.03146
evaluacion 48: f(0.0959226, -0.714903) = -1.03146
evaluacion 49: f(0.0959226, -0.714903) = -1.03146
evaluacion 50: f(0.0947131, -0.71603) = -1.03146
evaluacion 51: f(0.0947131, -0.71603) = -1.03146
evaluacion 52: f(0.0947131, -0.71603) = -1.03146
evaluacion 53: f(0.0947131, -0.71603) = -1.03146
evaluacion 54: f(0.0947131, -0.71603) = -1.03146
evaluacion 55: f(0.0947131, -0.71603) = -1.03146
evaluacion 56: f(0.0892198, -0.710615) = -1.03159
evaluacion 57: f(0.0892198, -0.710615) = -1.03159
evaluacion 58: f(0.0892198, -0.710615) = -1.03159
evaluacion 59: f(0.0892198, -0.710615) = -1.03159
evaluacion 60: f(0.0892198, -0.710615) = -1.03159
evaluacion 61: f(0.0892198, -0.710615) = -1.03159
evaluacion 62: f(0.0892198, -0.710615) = -1.03159
evaluacion 63: f(0.0892819, -0.713391) = -1.03162
evaluacion 64: f(0.0892819, -0.713391) = -1.03162
evaluacion 65: f(0.0892819, -0.713391) = -1.03162
evaluacion 66: f(0.0892819, -0.713391) = -1.03162
evaluacion 67: f(0.0892819, -0.713391) = -1.03162
evaluacion 68: f(0.0892819, -0.713391) = -1.03162
evaluacion 69: f(0.0897123, -0.711919) = -1.03162
evaluacion 70: f(0.0897123, -0.711919) = -1.03162
evaluacion 71: f(0.0897123, -0.711919) = -1.03162
evaluacion 72: f(0.0897123, -0.711919) = -1.03162
evaluacion 73: f(0.0897123, -0.711919) = -1.03162
evaluacion 74: f(0.0906102, -0.713175) = -1.03162
evaluacion 75: f(0.0906102, -0.713175) = -1.03162
evaluacion 76: f(0.0906102, -0.713175) = -1.03162
evaluacion 77: f(0.0906102, -0.713175) = -1.03162
evaluacion 78: f(0.0906102, -0.713175) = -1.03162
evaluacion 79: f(0.0906102, -0.713175) = -1.03162
evaluacion 80: f(0.0906394, -0.712765) = -1.03163
evaluacion 81: f(0.0906394, -0.712765) = -1.03163
evaluacion 82: f(0.0906394, -0.712765) = -1.03163
evaluacion 83: f(0.0906394, -0.712765) = -1.03163
evaluacion 84: f(0.0906394, -0.712765) = -1.03163
evaluacion 85: f(0.0906394, -0.712765) = -1.03163
evaluacion 86: f(0.0906394, -0.712765) = -1.03163
evaluacion 87: f(0.0906394, -0.712765) = -1.03163
evaluacion 88: f(0.0906394, -0.712765) = -1.03163
evaluacion 89: f(0.0906394, -0.712765) = -1.03163
evaluacion 90: f(0.0906394, -0.712765) = -1.03163
evaluacion 91: f(0.0906394, -0.712765) = -1.03163
evaluacion 92: f(0.0906394, -0.712765) = -1.03163
evaluacion 93: f(0.0906394, -0.712765) = -1.03163
evaluacion 94: f(0.0906394, -0.712765) = -1.03163
evaluacion 95: f(0.0906394, -0.712765) = -1.03163
evaluacion 96: f(0.0906394, -0.712765) = -1.03163
evaluacion 97: f(0.0906394, -0.712765) = -1.03163
evaluacion 98: f(0.0906394, -0.712765) = -1.03163
evaluacion 99: f(0.0906394, -0.712765) = -1.03163
