primera evaluacion f(1.65344, -0.219302) = 1.50528
evaluacion 0: f(1.65344, -0.219302) = 1.50528
evaluacion 1: f(-0.358241, -0.578048) = -0.203419
evaluacion 2: f(-0.358241, -0.578048) = -0.203419
evaluacion 3: f(-0.358241, -0.578048) = -0.203419
evaluacion 4: f(-0.358241, -0.578048) = -0.203419
evaluacion 5: f(-0.358241, -0.578048) = -0.203419
evaluacion 6: f(-0.358241, -0.578048) = -0.203419
evaluacion 7: f(-0.358241, -0.578048) = -0.203419
evaluacion 8: f(0.0150357, -0.408004) = -0.560254
evaluacion 9: f(0.0150357, -0.408004) = -0.560254
evaluacion 10: f(0.0150357, -0.408004) = -0.560254
evaluacion 11: f(0.0150357, -0.408004) = -0.560254
evaluacion 12: f(0.0150357, -0.408004) = -0.560254
evaluacion 13: f(0.0150357, -0.408004) = -0.560254
evaluacion 14: f(0.0150357, -0.408004) = -0.560254
evaluacion 15: f(0.0150357, -0.408004) = -0.560254
evaluacion 16: f(0.0150357, -0.408004) = -0.560254
evaluacion 17: f(0.0150357, -0.408004) = -0.560254
evaluacion 18: f(0.0150357, -0.408004) = -0.560254
evaluacion 19: f(0.0150357, -0.408004) = -0.560254
evaluacion 20: f(0.0150357, -0.408004) = -0.560254
evaluacion 21: f(0.0150357, -0.408004) = -0.560254
evaluacion 22: f(-0.0933145, -0.613777) = -0.847264
evaluacion 23: f(-0.0933145, -0.613777) = -0.847264
evaluacion 24: f(-0.0933145, -0.613777) = -0.847264
evaluacion 25: f(-0.0933145, -0.613777) = -0.847264
evaluacion 26: f(-0.0933145, -0.613777) = -0.847264
evaluacion 27: f(-0.0933145, -0.613777) = -0.847264
evaluacion 28: f(0.0428722, -0.767962) = -0.993348
evaluacion 29: f(0.0428722, -0.767962) = -0.993348
evaluacion 30: f(0.0428722, -0.767962) = -0.993348
evaluacion 31: f(0.0428722, -0.767962) = -0.993348
evaluacion 32: f(0.0428722, -0.767962) = -0.993348
evaluacion 33: f(0.0428722, -0.767962) = -0.993348
evaluacion 34: f(0.0428722, -0.767962) = -0.993348
evaluacion 35: f(0.0428722, -0.767962) = -0.993348
evaluacion 36: f(0.0428722, -0.767962) = -0.993348
evaluacion 37: f(0.0428722, -0.767962) = -0.993348
evaluacion 38: f(0.0428722, -0.767962) = -0.993348
evaluacion 39: f(0.0428722, -0.767962) = -0.993348
evaluacion 40: f(0.0428722, -0.767962) = -0.993348
evaluacion 41: f(0.0644877, -0.747974) = -1.01749
evaluacion 42: f(0.125035, -0.69576) = -1.02396
evaluacion 43: f(0.0769116, -0.689844) = -1.02714
evaluacion 44: f(0.111546, -0.717213) = -1.02973
evaluacion 45: f(0.111546, -0.717213) = -1.02973
evaluacion 46: f(0.111546, -0.717213) = -1.02973
evaluacion 47: f(0.111546, -0.717213) = -1.02973
evaluacion 48: f(0.111546, -0.717213) = -1.02973
evaluacion 49: f(0.111546, -0.717213) = -1.02973
evaluacion 50: f(0.103295, -0.719207) = -1.03066
evaluacion 51: f(0.0981177, -0.718977) = -1.03108
evaluacion 52: f(0.0981177, -0.718977) = -1.03108
evaluacion 53: f(0.0981177, -0.718977) = -1.03108
evaluacion 54: f(0.0946314, -0.717802) = -1.03135
evaluacion 55: f(0.0946314, -0.717802) = -1.03135
evaluacion 56: f(0.0946314, -0.717802) = -1.03135
evaluacion 57: f(0.0946314, -0.717802) = -1.03135
evaluacion 58: f(0.0946314, -0.717802) = -1.03135
evaluacion 59: f(0.0946314, -0.717802) = -1.03135
evaluacion 60: f(0.0946314, -0.717802) = -1.03135
evaluacion 61: f(0.0946314, -0.717802) = -1.03135
evaluacion 62: f(0.0946314, -0.717802) = -1.03135
evaluacion 63: f(0.090587, -0.713294) = -1.03162
evaluacion 64: f(0.090587, -0.713294) = -1.03162
evaluacion 65: f(0.090587, -0.713294) = -1.03162
evaluacion 66: f(0.090587, -0.713294) = -1.03162
evaluacion 67: f(0.090587, -0.713294) = -1.03162
evaluacion 68: f(0.090587, -0.713294) = -1.03162
evaluacion 69: f(0.090587, -0.713294) = -1.03162
evaluacion 70: f(0.090587, -0.713294) = -1.03162
evaluacion 71: f(0.090587, -0.713294) = -1.03162
evaluacion 72: f(0.090587, -0.713294) = -1.03162
evaluacion 73: f(0.090587, -0.713294) = -1.03162
evaluacion 74: f(0.090587, -0.713294) = -1.03162
evaluacion 75: f(0.090587, -0.713294) = -1.03162
evaluacion 76: f(0.090587, -0.713294) = -1.03162
evaluacion 77: f(0.090587, -0.713294) = -1.03162
evaluacion 78: f(0.090587, -0.713294) = -1.03162
evaluacion 79: f(0.090587, -0.713294) = -1.03162
evaluacion 80: f(0.090587, -0.713294) = -1.03162
evaluacion 81: f(0.090587, -0.713294) = -1.03162
evaluacion 82: f(0.090587, -0.713294) = -1.03162
evaluacion 83: f(0.090587, -0.713294) = -1.03162
evaluacion 84: f(0.090587, -0.713294) = -1.03162
evaluacion 85: f(0.090587, -0.713294) = -1.03162
evaluacion 86: f(0.090587, -0.713294) = -1.03162
evaluacion 87: f(0.090587, -0.713294) = -1.03162
evaluacion 88: f(0.090587, -0.713294) = -1.03162
evaluacion 89: f(0.090587, -0.713294) = -1.03162
evaluacion 90: f(0.090587, -0.713294) = -1.03162
evaluacion 91: f(0.090587, -0.713294) = -1.03162
evaluacion 92: f(0.090587, -0.713294) = -1.03162
evaluacion 93: f(0.090587, -0.713294) = -1.03162
evaluacion 94: f(0.090587, -0.713294) = -1.03162
evaluacion 95: f(0.090587, -0.713294) = -1.03162
evaluacion 96: f(0.090587, -0.713294) = -1.03162
evaluacion 97: f(0.090587, -0.713294) = -1.03162
evaluacion 98: f(0.090587, -0.713294) = -1.03162
evaluacion 99: f(0.090587, -0.713294) = -1.03162
