primera evaluacion f(-0.182426, 0.969845) = -0.269608
evaluacion 0: f(-0.182426, 0.969845) = -0.269608
evaluacion 1: f(-0.182426, 0.969845) = -0.269608
evaluacion 2: f(-0.182426, 0.969845) = -0.269608
evaluacion 3: f(-0.121059, -0.399618) = -0.430221
evaluacion 4: f(-0.121059, -0.399618) = -0.430221
evaluacion 5: f(-0.121059, -0.399618) = -0.430221
evaluacion 6: f(-0.121059, -0.399618) = -0.430221
evaluacion 7: f(-0.121059, -0.399618) = -0.430221
evaluacion 8: f(-0.121059, -0.399618) = -0.430221
evaluacion 9: f(-0.121059, -0.399618) = -0.430221
evaluacion 10: f(-0.121059, -0.399618) = -0.430221
evaluacion 11: f(-0.121059, -0.399618) = -0.430221
evaluacion 12: f(-0.121059, -0.399618) = -0.430221
evaluacion 13: f(-0.121059, -0.399618) = -0.430221
evaluacion 14: f(-0.121059, -0.399618) = -0.430221
evaluacion 15: f(-0.121059, -0.399618) = -0.430221
evaluacion 16: f(-0.121059, -0.399618) = -0.430221
evaluacion 17: f(-0.121059, -0.399618) = -0.430221
evaluacion 18: f(-0.121059, -0.399618) = -0.430221
evaluacion 19: f(-0.121059, -0.399618) = -0.430221
evaluacion 20: f(0.0225394, -0.703655) = -1.01373
evaluacion 21: f(0.0225394, -0.703655) = -1.01373
evaluacion 22: f(0.0225394, -0.703655) = -1.01373
evaluacion 23: f(0.0225394, -0.703655) = -1.01373
evaluacion 24: f(0.0225394, -0.703655) = -1.01373
evaluacion 25: f(0.0225394, -0.703655) = -1.01373
evaluacion 26: f(0.0225394, -0.703655) = -1.01373
evaluacion 27: f(0.0225394, -0.703655) = -1.01373
evaluacion 28: f(0.0225394, -0.703655) = -1.01373
evaluacion 29: f(0.0225394, -0.703655) = -1.01373
evaluacion 30: f(0.0768733, -0.750122) = -1.01838
evaluacion 31: f(0.0768733, -0.750122) = -1.01838
evaluacion 32: f(0.0768733, -0.750122) = -1.01838
evaluacion 33: f(0.0768733, -0.750122) = -1.01838
evaluacion 34: f(0.0587904, -0.722936) = -1.02665
evaluacion 35: f(0.0587904, -0.722936) = -1.02665
evaluacion 36: f(0.0587904, -0.722936) = -1.02665
evaluacion 37: f(0.0587904, -0.722936) = -1.02665
evaluacion 38: f(0.0587904, -0.722936) = -1.02665
evaluacion 39: f(0.108467, -0.714631) = -1.03029
evaluacion 40: f(0.108467, -0.714631) = -1.03029
evaluacion 41: f(0.108467, -0.714631) = -1.03029
evaluacion 42: f(0.108467, -0.714631) = -1.03029
evaluacion 43: f(0.108467, -0.714631) = -1.03029
evaluacion 44: f(0.108467, -0.714631) = -1.03029
evaluacion 45: f(0.108467, -0.714631) = -1.03029
evaluacion 46: f(0.108467, -0.714631) = -1.03029
evaluacion 47: f(0.108467, -0.714631) = -1.03029
evaluacion 48: f(0.093121, -0.709456) = -1.03149
evaluacion 49: f(0.093121, -0.709456) = -1.03149
evaluacion 50: f(0.093121, -0.709456) = -1.03149
evaluacion 51: f(0.093121, -0.709456) = -1.03149
evaluacion 52: f(0.0881296, -0.716367) = -1.0315
evaluacion 53: f(0.0881296, -0.716367) = -1.0315
evaluacion 54: f(0.0881296, -0.716367) = -1.0315
evaluacion 55: f(0.0881296, -0.716367) = -1.0315
