primera evaluacion f(1.77929, -0.925499) = 0.0544005
evaluacion 0: f(1.77929, -0.925499) = 0.0544005
evaluacion 1: f(0.502838, -0.86559) = -0.304241
evaluacion 2: f(0.502838, -0.86559) = -0.304241
evaluacion 3: f(0.502838, -0.86559) = -0.304241
evaluacion 4: f(0.502838, -0.86559) = -0.304241
evaluacion 5: f(0.502838, -0.86559) = -0.304241
evaluacion 6: f(0.502838, -0.86559) = -0.304241
evaluacion 7: f(0.502838, -0.86559) = -0.304241
evaluacion 8: f(-0.197065, -0.449498) = -0.404129
evaluacion 9: f(-0.197065, -0.449498) = -0.404129
evaluacion 10: f(-0.197065, -0.449498) = -0.404129
evaluacion 11: f(-0.197065, -0.449498) = -0.404129
evaluacion 12: f(-0.197065, -0.449498) = -0.404129
evaluacion 13: f(-0.197065, -0.449498) = -0.404129
evaluacion 14: f(-0.197065, -0.449498) = -0.404129
evaluacion 15: f(-0.197065, -0.449498) = -0.404129
evaluacion 16: f(-0.277025, -0.6109) = -0.471697
evaluacion 17: f(-0.277025, -0.6109) = -0.471697
evaluacion 18: f(-0.277025, -0.6109) = -0.471697
evaluacion 19: f(-0.277025, -0.6109) = -0.471697
evaluacion 20: f(-0.277025, -0.6109) = -0.471697
evaluacion 21: f(-0.277025, -0.6109) = -0.471697
evaluacion 22: f(-0.277025, -0.6109) = -0.471697
evaluacion 23: f(-0.277025, -0.6109) = -0.471697
evaluacion 24: f(-0.277025, -0.6109) = -0.471697
evaluacion 25: f(0.0764437, -0.731269) = -1.02777
evaluacion 26: f(0.0764437, -0.731269) = -1.02777
evaluacion 27: f(0.0764437, -0.731269) = -1.02777
evaluacion 28: f(0.0764437, -0.731269) = -1.02777
evaluacion 29: f(0.0764437, -0.731269) = -1.02777
evaluacion 30: f(0.0764437, -0.731269) = -1.02777
evaluacion 31: f(0.0764437, -0.731269) = -1.02777
evaluacion 32: f(0.0764437, -0.731269) = -1.02777
evaluacion 33: f(0.0764437, -0.731269) = -1.02777
evaluacion 34: f(0.0764437, -0.731269) = -1.02777
evaluacion 35: f(0.0764437, -0.731269) = -1.02777
evaluacion 36: f(0.0764437, -0.731269) = -1.02777
evaluacion 37: f(0.0764437, -0.731269) = -1.02777
evaluacion 38: f(0.0764437, -0.731269) = -1.02777
evaluacion 39: f(0.0764437, -0.731269) = -1.02777
evaluacion 40: f(0.0764437, -0.731269) = -1.02777
evaluacion 41: f(0.0764437, -0.731269) = -1.02777
evaluacion 42: f(0.0764437, -0.731269) = -1.02777
evaluacion 43: f(0.109891, -0.722219) = -1.0295
evaluacion 44: f(0.109891, -0.722219) = -1.0295
evaluacion 45: f(0.109891, -0.722219) = -1.0295
evaluacion 46: f(0.109891, -0.722219) = -1.0295
evaluacion 47: f(0.0908472, -0.69968) = -1.03026
