primera evaluacion f(0.449975, -0.198662) = 0.485556
evaluacion 0: f(0.449975, -0.198662) = 0.485556
evaluacion 1: f(0.449975, -0.198662) = 0.485556
evaluacion 2: f(0.0358835, 0.532039) = -0.787519
evaluacion 3: f(0.0358835, 0.532039) = -0.787519
evaluacion 4: f(0.0358835, 0.532039) = -0.787519
evaluacion 5: f(0.0358835, 0.532039) = -0.787519
evaluacion 6: f(0.0358835, 0.532039) = -0.787519
evaluacion 7: f(0.0358835, 0.532039) = -0.787519
evaluacion 8: f(0.0358835, 0.532039) = -0.787519
evaluacion 9: f(0.0358835, 0.532039) = -0.787519
evaluacion 10: f(0.0358835, 0.532039) = -0.787519
evaluacion 11: f(0.0358835, 0.532039) = -0.787519
evaluacion 12: f(0.0358835, 0.532039) = -0.787519
evaluacion 13: f(0.0358835, 0.532039) = -0.787519
evaluacion 14: f(0.0358835, 0.532039) = -0.787519
evaluacion 15: f(0.0358835, 0.532039) = -0.787519
evaluacion 16: f(0.0358835, 0.532039) = -0.787519
evaluacion 17: f(0.0358835, 0.532039) = -0.787519
evaluacion 18: f(0.0358835, 0.532039) = -0.787519
evaluacion 19: f(0.0358835, 0.532039) = -0.787519
evaluacion 20: f(0.0358835, 0.532039) = -0.787519
evaluacion 21: f(0.0358835, 0.532039) = -0.787519
evaluacion 22: f(0.0358835, 0.532039) = -0.787519
evaluacion 23: f(-0.115935, 0.692057) = -1.02507
evaluacion 24: f(-0.115935, 0.692057) = -1.02507
evaluacion 25: f(-0.115935, 0.692057) = -1.02507
evaluacion 26: f(-0.115935, 0.692057) = -1.02507
evaluacion 27: f(-0.115935, 0.692057) = -1.02507
evaluacion 28: f(-0.115935, 0.692057) = -1.02507
evaluacion 29: f(-0.115935, 0.692057) = -1.02507
evaluacion 30: f(-0.115935, 0.692057) = -1.02507
evaluacion 31: f(-0.115935, 0.692057) = -1.02507
evaluacion 32: f(-0.115935, 0.692057) = -1.02507
evaluacion 33: f(-0.115935, 0.692057) = -1.02507
evaluacion 34: f(-0.115935, 0.692057) = -1.02507
evaluacion 35: f(-0.115935, 0.692057) = -1.02507
evaluacion 36: f(-0.115935, 0.692057) = -1.02507
evaluacion 37: f(-0.115935, 0.692057) = -1.02507
evaluacion 38: f(-0.115935, 0.692057) = -1.02507
evaluacion 39: f(-0.115935, 0.692057) = -1.02507
evaluacion 40: f(-0.0667726, 0.698065) = -1.02817
evaluacion 41: f(-0.0667726, 0.698065) = -1.02817
evaluacion 42: f(-0.0667726, 0.698065) = -1.02817
evaluacion 43: f(-0.0667726, 0.698065) = -1.02817
evaluacion 44: f(-0.0667726, 0.698065) = -1.02817
evaluacion 45: f(-0.0667726, 0.698065) = -1.02817
evaluacion 46: f(-0.0950943, 0.709222) = -1.03141
evaluacion 47: f(-0.0950943, 0.709222) = -1.03141
evaluacion 48: f(-0.0950943, 0.709222) = -1.03141
evaluacion 49: f(-0.0950943, 0.709222) = -1.03141
evaluacion 50: f(-0.0950943, 0.709222) = -1.03141
evaluacion 51: f(-0.0887834, 0.707964) = -1.03145
evaluacion 52: f(-0.0887834, 0.707964) = -1.03145
evaluacion 53: f(-0.0904294, 0.716435) = -1.03151
evaluacion 54: f(-0.0942269, 0.714649) = -1.03153
evaluacion 55: f(-0.0942269, 0.714649) = -1.03153
evaluacion 56: f(-0.0942269, 0.714649) = -1.03153
evaluacion 57: f(-0.0942269, 0.714649) = -1.03153
evaluacion 58: f(-0.0942269, 0.714649) = -1.03153
evaluacion 59: f(-0.0942269, 0.714649) = -1.03153
evaluacion 60: f(-0.0942269, 0.714649) = -1.03153
evaluacion 61: f(-0.0942269, 0.714649) = -1.03153
evaluacion 62: f(-0.0942269, 0.714649) = -1.03153
evaluacion 63: f(-0.0942269, 0.714649) = -1.03153
evaluacion 64: f(-0.0942269, 0.714649) = -1.03153
evaluacion 65: f(-0.0942269, 0.714649) = -1.03153
evaluacion 66: f(-0.0942269, 0.714649) = -1.03153
evaluacion 67: f(-0.0942269, 0.714649) = -1.03153
evaluacion 68: f(-0.0942269, 0.714649) = -1.03153
evaluacion 69: f(-0.0942269, 0.714649) = -1.03153
evaluacion 70: f(-0.0942269, 0.714649) = -1.03153
evaluacion 71: f(-0.0942269, 0.714649) = -1.03153
evaluacion 72: f(-0.0942269, 0.714649) = -1.03153
evaluacion 73: f(-0.0942269, 0.714649) = -1.03153
evaluacion 74: f(-0.0942269, 0.714649) = -1.03153
evaluacion 75: f(-0.0942269, 0.714649) = -1.03153
evaluacion 76: f(-0.0942269, 0.714649) = -1.03153
evaluacion 77: f(-0.0942269, 0.714649) = -1.03153
evaluacion 78: f(-0.0942269, 0.714649) = -1.03153
evaluacion 79: f(-0.0942269, 0.714649) = -1.03153
evaluacion 80: f(-0.0942269, 0.714649) = -1.03153
evaluacion 81: f(-0.0942269, 0.714649) = -1.03153
evaluacion 82: f(-0.0942269, 0.714649) = -1.03153
evaluacion 83: f(-0.0942269, 0.714649) = -1.03153
evaluacion 84: f(-0.0942269, 0.714649) = -1.03153
evaluacion 85: f(-0.0942269, 0.714649) = -1.03153
evaluacion 86: f(-0.0942269, 0.714649) = -1.03153
evaluacion 87: f(-0.0942269, 0.714649) = -1.03153
evaluacion 88: f(-0.0942269, 0.714649) = -1.03153
evaluacion 89: f(-0.0942269, 0.714649) = -1.03153
evaluacion 90: f(-0.0942269, 0.714649) = -1.03153
evaluacion 91: f(-0.0942269, 0.714649) = -1.03153
evaluacion 92: f(-0.0942269, 0.714649) = -1.03153
evaluacion 93: f(-0.0942269, 0.714649) = -1.03153
evaluacion 94: f(-0.0942269, 0.714649) = -1.03153
evaluacion 95: f(-0.0942269, 0.714649) = -1.03153
evaluacion 96: f(-0.0942269, 0.714649) = -1.03153
evaluacion 97: f(-0.0942269, 0.714649) = -1.03153
evaluacion 98: f(-0.0902724, 0.713977) = -1.03161
evaluacion 99: f(-0.0902724, 0.713977) = -1.03161
