primera evaluacion f(1.84379, 0.684678) = 2.69109
evaluacion 0: f(1.84379, 0.684678) = 2.69109
evaluacion 1: f(-0.99087, 0.990037) = 1.15969
evaluacion 2: f(-0.99087, 0.990037) = 1.15969
evaluacion 3: f(-0.99087, 0.990037) = 1.15969
evaluacion 4: f(-0.99087, 0.990037) = 1.15969
evaluacion 5: f(-0.99087, 0.990037) = 1.15969
evaluacion 6: f(-0.99087, 0.990037) = 1.15969
evaluacion 7: f(-0.99087, 0.990037) = 1.15969
evaluacion 8: f(-0.558419, 0.889616) = -0.103853
evaluacion 9: f(-0.558419, 0.889616) = -0.103853
evaluacion 10: f(-0.558419, 0.889616) = -0.103853
evaluacion 11: f(-0.558419, 0.889616) = -0.103853
evaluacion 12: f(-0.558419, 0.889616) = -0.103853
evaluacion 13: f(-0.558419, 0.889616) = -0.103853
evaluacion 14: f(-0.558419, 0.889616) = -0.103853
evaluacion 15: f(-0.558419, 0.889616) = -0.103853
evaluacion 16: f(-0.558419, 0.889616) = -0.103853
evaluacion 17: f(-0.558419, 0.889616) = -0.103853
evaluacion 18: f(-0.558419, 0.889616) = -0.103853
evaluacion 19: f(-0.558419, 0.889616) = -0.103853
evaluacion 20: f(-0.558419, 0.889616) = -0.103853
evaluacion 21: f(-0.558419, 0.889616) = -0.103853
evaluacion 22: f(-0.535546, 0.793876) = -0.374951
evaluacion 23: f(-0.535546, 0.793876) = -0.374951
evaluacion 24: f(-0.330504, 0.762614) = -0.813116
evaluacion 25: f(-0.330504, 0.762614) = -0.813116
evaluacion 26: f(-0.330504, 0.762614) = -0.813116
evaluacion 27: f(-0.330504, 0.762614) = -0.813116
evaluacion 28: f(-0.330504, 0.762614) = -0.813116
evaluacion 29: f(-0.330504, 0.762614) = -0.813116
evaluacion 30: f(-0.330504, 0.762614) = -0.813116
evaluacion 31: f(-0.330504, 0.762614) = -0.813116
evaluacion 32: f(-0.330504, 0.762614) = -0.813116
evaluacion 33: f(-0.220685, 0.720864) = -0.967675
evaluacion 34: f(-0.220685, 0.720864) = -0.967675
evaluacion 35: f(-0.220685, 0.720864) = -0.967675
evaluacion 36: f(-0.220685, 0.720864) = -0.967675
evaluacion 37: f(-0.148154, 0.77162) = -0.991125
evaluacion 38: f(-0.131178, 0.698982) = -1.02296
evaluacion 39: f(-0.131178, 0.698982) = -1.02296
evaluacion 40: f(-0.131178, 0.698982) = -1.02296
evaluacion 41: f(-0.131178, 0.698982) = -1.02296
evaluacion 42: f(-0.131178, 0.698982) = -1.02296
evaluacion 43: f(-0.131178, 0.698982) = -1.02296
evaluacion 44: f(-0.131178, 0.698982) = -1.02296
evaluacion 45: f(-0.131178, 0.698982) = -1.02296
evaluacion 46: f(-0.131178, 0.698982) = -1.02296
evaluacion 47: f(-0.131178, 0.698982) = -1.02296
evaluacion 48: f(-0.0930438, 0.70905) = -1.03147
evaluacion 49: f(-0.0930438, 0.70905) = -1.03147
evaluacion 50: f(-0.0930438, 0.70905) = -1.03147
evaluacion 51: f(-0.0930438, 0.70905) = -1.03147
evaluacion 52: f(-0.0930438, 0.70905) = -1.03147
evaluacion 53: f(-0.0930438, 0.70905) = -1.03147
evaluacion 54: f(-0.0930438, 0.70905) = -1.03147
evaluacion 55: f(-0.0930438, 0.70905) = -1.03147
evaluacion 56: f(-0.0930438, 0.70905) = -1.03147
evaluacion 57: f(-0.0930438, 0.70905) = -1.03147
evaluacion 58: f(-0.0930438, 0.70905) = -1.03147
evaluacion 59: f(-0.0930438, 0.70905) = -1.03147
evaluacion 60: f(-0.0930438, 0.70905) = -1.03147
evaluacion 61: f(-0.0930438, 0.70905) = -1.03147
evaluacion 62: f(-0.0930438, 0.70905) = -1.03147
evaluacion 63: f(-0.0930438, 0.70905) = -1.03147
evaluacion 64: f(-0.0930438, 0.70905) = -1.03147
evaluacion 65: f(-0.0930438, 0.70905) = -1.03147
evaluacion 66: f(-0.0930438, 0.70905) = -1.03147
evaluacion 67: f(-0.0930438, 0.70905) = -1.03147
evaluacion 68: f(-0.0930438, 0.70905) = -1.03147
evaluacion 69: f(-0.0930438, 0.70905) = -1.03147
