primera evaluacion f(1.14688, 0.243008) = 2.44311
evaluacion 0: f(0.941641, -0.757635) = 0.436565
evaluacion 1: f(-0.311102, 0.261159) = 0.0323119
evaluacion 2: f(-0.311102, 0.261159) = 0.0323119
evaluacion 3: f(-0.311102, 0.261159) = 0.0323119
evaluacion 4: f(-0.311102, 0.261159) = 0.0323119
evaluacion 5: f(-0.311102, 0.261159) = 0.0323119
evaluacion 6: f(-0.311102, 0.261159) = 0.0323119
evaluacion 7: f(-0.311102, 0.261159) = 0.0323119
evaluacion 8: f(-0.311102, 0.261159) = 0.0323119
evaluacion 9: f(-0.311102, 0.261159) = 0.0323119
evaluacion 10: f(-0.311102, 0.261159) = 0.0323119
evaluacion 11: f(-0.311102, 0.261159) = 0.0323119
evaluacion 12: f(0.296232, -0.408526) = -0.342111
evaluacion 13: f(0.296232, -0.408526) = -0.342111
evaluacion 14: f(0.296232, -0.408526) = -0.342111
evaluacion 15: f(0.28033, 0.660056) = -0.496882
evaluacion 16: f(0.28033, 0.660056) = -0.496882
evaluacion 17: f(0.28033, 0.660056) = -0.496882
evaluacion 18: f(0.28033, 0.660056) = -0.496882
evaluacion 19: f(0.28033, 0.660056) = -0.496882
evaluacion 20: f(0.28033, 0.660056) = -0.496882
evaluacion 21: f(0.28033, 0.660056) = -0.496882
evaluacion 22: f(0.28033, 0.660056) = -0.496882
evaluacion 23: f(0.28033, 0.660056) = -0.496882
evaluacion 24: f(-0.0731598, 0.815735) = -0.92887
evaluacion 25: f(-0.0731598, 0.815735) = -0.92887
evaluacion 26: f(-0.0731598, 0.815735) = -0.92887
evaluacion 27: f(-0.0731598, 0.815735) = -0.92887
evaluacion 28: f(-0.134884, 0.606892) = -0.940418
evaluacion 29: f(-0.215195, 0.687912) = -0.964402
evaluacion 30: f(-0.215195, 0.687912) = -0.964402
evaluacion 31: f(-0.215195, 0.687912) = -0.964402
evaluacion 32: f(-0.058025, 0.717284) = -1.02734
evaluacion 33: f(-0.058025, 0.717284) = -1.02734
evaluacion 34: f(-0.058025, 0.717284) = -1.02734
evaluacion 35: f(-0.058025, 0.717284) = -1.02734
evaluacion 36: f(-0.058025, 0.717284) = -1.02734
evaluacion 37: f(-0.058025, 0.717284) = -1.02734
evaluacion 38: f(-0.058025, 0.717284) = -1.02734
evaluacion 39: f(-0.058025, 0.717284) = -1.02734
evaluacion 40: f(-0.058025, 0.717284) = -1.02734
evaluacion 41: f(-0.058025, 0.717284) = -1.02734
evaluacion 42: f(-0.058025, 0.717284) = -1.02734
evaluacion 43: f(-0.058025, 0.717284) = -1.02734
evaluacion 44: f(-0.058025, 0.717284) = -1.02734
evaluacion 45: f(-0.058025, 0.717284) = -1.02734
evaluacion 46: f(-0.058025, 0.717284) = -1.02734
evaluacion 47: f(-0.058025, 0.717284) = -1.02734
evaluacion 48: f(-0.058025, 0.717284) = -1.02734
evaluacion 49: f(-0.058025, 0.717284) = -1.02734
evaluacion 50: f(-0.058025, 0.717284) = -1.02734
evaluacion 51: f(-0.058025, 0.717284) = -1.02734
evaluacion 52: f(-0.058025, 0.717284) = -1.02734
evaluacion 53: f(-0.058025, 0.717284) = -1.02734
evaluacion 54: f(-0.058025, 0.717284) = -1.02734
evaluacion 55: f(-0.058025, 0.717284) = -1.02734
evaluacion 56: f(-0.058025, 0.717284) = -1.02734
evaluacion 57: f(-0.058025, 0.717284) = -1.02734
evaluacion 58: f(-0.058025, 0.717284) = -1.02734
evaluacion 59: f(-0.058025, 0.717284) = -1.02734
evaluacion 60: f(-0.058025, 0.717284) = -1.02734
evaluacion 61: f(-0.058025, 0.717284) = -1.02734
evaluacion 62: f(-0.058025, 0.717284) = -1.02734
evaluacion 63: f(-0.058025, 0.717284) = -1.02734
evaluacion 64: f(-0.058025, 0.717284) = -1.02734
evaluacion 65: f(-0.058025, 0.717284) = -1.02734
evaluacion 66: f(-0.058025, 0.717284) = -1.02734
evaluacion 67: f(-0.058025, 0.717284) = -1.02734
evaluacion 68: f(-0.058025, 0.717284) = -1.02734
evaluacion 69: f(-0.058025, 0.717284) = -1.02734
evaluacion 70: f(-0.058025, 0.717284) = -1.02734
evaluacion 71: f(-0.058025, 0.717284) = -1.02734
evaluacion 72: f(-0.058025, 0.717284) = -1.02734
evaluacion 73: f(-0.058025, 0.717284) = -1.02734
evaluacion 74: f(-0.058025, 0.717284) = -1.02734
evaluacion 75: f(-0.058025, 0.717284) = -1.02734
evaluacion 76: f(-0.058025, 0.717284) = -1.02734
evaluacion 77: f(-0.058025, 0.717284) = -1.02734
evaluacion 78: f(-0.058025, 0.717284) = -1.02734
evaluacion 79: f(-0.058025, 0.717284) = -1.02734
evaluacion 80: f(-0.058025, 0.717284) = -1.02734
evaluacion 81: f(-0.058025, 0.717284) = -1.02734
evaluacion 82: f(-0.058025, 0.717284) = -1.02734
evaluacion 83: f(-0.058025, 0.717284) = -1.02734
evaluacion 84: f(-0.0833439, 0.700578) = -1.03037
evaluacion 85: f(-0.0833439, 0.700578) = -1.03037
evaluacion 86: f(-0.0833439, 0.700578) = -1.03037
evaluacion 87: f(-0.0833439, 0.700578) = -1.03037
evaluacion 88: f(-0.0921649, 0.702725) = -1.03079
evaluacion 89: f(-0.0921649, 0.702725) = -1.03079
evaluacion 90: f(-0.0921649, 0.702725) = -1.03079
evaluacion 91: f(-0.0921649, 0.702725) = -1.03079
evaluacion 92: f(-0.0921649, 0.702725) = -1.03079
